side_proxy,hitter,sample_size,dtl_rate,point_win_rate
deuce,Reilly Opelka,13,0.6153846153846154,0.46153846153846156
deuce,Aleksandar Vukic,12,0.16666666666666666,0.4166666666666667
deuce,Bernabe Zapata Miralles,12,0.4166666666666667,0.3333333333333333
deuce,Camilo Ugo Carabelli,12,0.4166666666666667,0.5833333333333334
deuce,Flavio Cobolli,12,0.5,0.5833333333333334
deuce,Giovanni Mpetshi Perricard,12,0.6666666666666666,0.5833333333333334
deuce,Kei Nishikori,12,0.4166666666666667,0.4166666666666667
deuce,Pablo Andujar,12,0.3333333333333333,0.4166666666666667
deuce,Bu Yunchaokete,11,0.45454545454545453,0.45454545454545453
deuce,Christopher Eubanks,11,0.09090909090909091,0.09090909090909091
deuce,Dimitar Kuzmanov,11,0.7272727272727273,0.5454545454545454
deuce,Enzo Couacaud,11,1.0,0.36363636363636365
ad,Federico Delbonis,11,0.45454545454545453,0.45454545454545453
deuce,Pedro Cachin,11,0.45454545454545453,0.36363636363636365
deuce,Sebastian Ofner,11,0.45454545454545453,0.5454545454545454
deuce,Yannick Hanfmann,11,0.36363636363636365,0.6363636363636364
deuce,Yasutaka Uchiyama,11,0.18181818181818182,0.36363636363636365
deuce,Alexis Galarneau,10,0.4,0.8
deuce,Eliot Spizzirri,10,0.3,0.6
deuce,Emilio Nava,10,0.2,0.4
ad,Mattia Bellucci,10,0.3,0.5
deuce,Nicolas Jarry,10,0.4,0.6
deuce,Tristan Schoolkate,10,0.8,0.2
deuce,Yu Hsiou Hsu,10,0.3,0.4
deuce,Brandon Holt,9,0.5555555555555556,0.5555555555555556
deuce,Gilles Arnaud Bailly,9,0.2222222222222222,0.4444444444444444
deuce,Liam Draxl,9,0.5555555555555556,0.7777777777777778
deuce,Lloyd Harris,9,0.1111111111111111,0.2222222222222222
ad,Abedallah Shelbayh,8,0.375,0.625
deuce,Bruno Kuzuhara,8,0.25,0.625
deuce,Dmitry Popko,8,0.5,0.75
ad,Dominik Koepfer,8,0.125,0.375
deuce,Govind Nanda,8,0.5,0.25
deuce,Kilian Feldbausch,8,0.625,0.25
deuce,Kyle Edmund,8,0.375,0.125
deuce,Ugo Blanchet,8,0.5,0.75
deuce,Bernard Tomic,7,0.2857142857142857,0.14285714285714285
deuce,Daniel Altmaier,7,0.8571428571428571,0.5714285714285714
deuce,Duje Ajdukovic,7,0.14285714285714285,0.2857142857142857
deuce,Emilio Gomez,7,0.2857142857142857,0.5714285714285714
deuce,Evan Zhu,7,0.0,0.42857142857142855
ad,Feliciano Lopez,7,0.14285714285714285,0.2857142857142857
deuce,Fitriadi M Rifqi,7,0.14285714285714285,0.42857142857142855
deuce,Joris De Loore,7,0.2857142857142857,0.14285714285714285
deuce,Marton Fucsovics,7,0.42857142857142855,0.42857142857142855
deuce,Matwe Middelkoop,7,0.5714285714285714,0.42857142857142855
deuce,Rei Sakamoto,7,0.42857142857142855,0.5714285714285714
deuce,Yosuke Watanuki,7,0.14285714285714285,0.5714285714285714
ad,Albert Ramos,6,0.3333333333333333,0.6666666666666666
deuce,Alexander Blockx,6,0.3333333333333333,0.6666666666666666
deuce,Cem Ilkel,6,0.3333333333333333,0.5
deuce,Colton Smith,6,0.3333333333333333,0.5
deuce,Ethan Quinn,6,0.16666666666666666,0.3333333333333333
deuce,Evan Furness,6,0.6666666666666666,0.3333333333333333
deuce,Federico Cina,6,0.3333333333333333,0.6666666666666666
ad,Fernando Verdasco,6,0.3333333333333333,0.5
deuce,Henri Laaksonen,6,0.3333333333333333,0.3333333333333333
deuce,James Mccabe,6,0.0,0.16666666666666666
ad,Jiri Vesely,6,0.3333333333333333,0.16666666666666666
deuce,Lukas Klein,6,0.3333333333333333,0.5
deuce,Martin Borisiouk,6,0.16666666666666666,0.5
deuce,Raphael Collignon,6,0.6666666666666666,0.5
deuce,Thijs Boogaard,6,0.5,0.6666666666666666
deuce,Vasek Pospisil,6,0.5,0.16666666666666666
deuce,Zachary Svajda,6,0.6666666666666666,0.5
deuce,Adam Walton,5,0.2,0.4
deuce,Andrej Martin,5,0.4,0.6
deuce,Billy Harris,5,0.0,0.2
deuce,Damir Dzumhur,5,0.0,0.4
deuce,Dylan Dietrich,5,0.6,0.8
deuce,Evgeny Donskoy,5,0.4,0.4
ad,Facundo Diaz Acosta,5,0.6,0.4
deuce,Gabriel Decamps,5,0.6,0.6
ad,Giulio Zeppieri,5,0.0,0.4
ad,Hugo Gaston,5,0.2,0.2
deuce,James Duckworth,5,0.2,0.2
ad,Juan Manuel Cerundolo,5,0.2,0.6
deuce,Kyrian Jacquet,5,0.4,0.4
deuce,Martin Landaluce,5,0.4,0.6
deuce,Mikhail Kukushkin,5,0.4,0.4
deuce,Minhtuan Pham,5,0.6,0.4
deuce,Naoki Nakagawa,5,0.4,0.2
deuce,Oleksii Krutykh,5,0.6,0.4
deuce,Peter Bertran,5,0.4,0.4
deuce,Sam Querrey,5,0.8,0.4
deuce,Tung Lin Wu,5,0.0,0.6
ad,Alejandro Tabilo,4,0.0,0.25
deuce,Attila Balazs,4,0.75,0.25
deuce,Benoit Paire,4,0.0,0.0
deuce,Christoph Negritu,4,0.25,0.25
deuce,Constant Lestienne,4,0.5,1.0
deuce,Fabio Fognini,4,0.0,0.75
deuce,Filip Bergevi,4,0.25,0.25
deuce,Hugo Grenier,4,0.25,0.5
deuce,Jozef Kovalik,4,1.0,0.75
deuce,Laurent Lokoli,4,0.25,0.25
deuce,Malek Jaziri,4,0.5,0.0
deuce,Max Hans Rehberg,4,0.0,0.5
deuce,Milos Raonic,4,0.75,0.25
deuce,Oscar Otte,4,0.5,0.5
deuce,Ozan Baris,4,0.5,0.75
